place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,
万业紫辰苑,万业三房 带花园 位置安静 南北通透,低楼层 (共28层) | 2014年建 | 3室2厅 | 91.91平米 | 南 北,472,"51,355",2014,91.91,8,31.40566208,121.444699,63491,2,宝启公寓,31.37657389,121.439279,44400,,,,
万业紫辰苑,万业紫辰苑 3室2厅 南,高楼层 (共31层) 3室2厅 | 98.99平米 | 南,525,"53,036",,98.99,,31.40566208,121.444699,63491,2,宝启花园(公寓),31.37657389,121.439279,35559.5,,,,
万临家园,顶楼复式，满五年，露台附加，精装修,高楼层 (共5层) | 2006年建 | 3室3厅 | 149.76平米 | 南,828,"55,289",2006,149.76,16,31.3474732,121.4969779,63491,2,宝沁苑,31.34349387,121.2967083,44671,,,,
万临家园,宝山淞南三号线万临家园三房两卫税费少产权清晰,低楼层 (共11层) | 2006年建 | 4室2厅 | 129.16平米 | 南,820,"63,488",2006,129.16,16,31.3474732,121.4969779,63491,2,宝山八村,31.4016723,121.501948,50792.6,,,,
万科四季花城,空中别墅，大户型，舒适度高，采光好,高楼层 (共12层) | 2007年建 | 5室2厅 | 185.03平米 | 南,910,"49,182",2007,185.03,15,31.39158188,121.4509281,63491,2,宝山二村,31.40043888,121.5068147,47973,,,,
万科四季花城,万科四季二房 业主诚意出售 看房提前预约,低楼层 (共11层) | 2007年建 | 2室1厅 | 79.63平米 | 南,385,"48,349",2007,79.63,15,31.39158188,121.4509281,63491,2,宝山三村,31.39881292,121.5024084,52273.46154,,,,
万科四季花城,满五，配套齐全，品质小区，宜居,低楼层 (共11层) | 2006年建 | 2室1厅 | 91.55平米 | 南,436,"47,625",2006,91.55,16,31.39158188,121.4509281,63491,2,宝山一村,31.40154208,121.5097829,43776,,,,
万科四季花城,万科经典小三房 满五年 税费少,低楼层 (共11层) | 2009年建 | 3室1厅 | 84.21平米 | 南,410,"48,688",2009,84.21,13,31.39158188,121.4509281,63491,2,保利叶上海(二期),31.35114089,121.3610629,58208,,,,
万科四季花城,满五年，万科物业 产权清晰，高楼层，视野开阔，,高楼层 (共11层) | 2009年建 | 3室2厅 | 84.27平米 | 南,455,"53,994",2009,84.27,13,31.39158188,121.4509281,63491,2,保利叶上海(一期),31.34857308,121.3623787,55366.33333,,,,
万科四季花城,万科品质两房，双南两房，自住装修，满五年,低楼层 (共12层) | 2007年建 | 2室2厅 | 87.33平米 | 南,420,"48,094",2007,87.33,15,31.39158188,121.4509281,63491,2,保利叶语(二期)(公寓),31.34789185,121.369905,61503,,,,
万科琥珀郡园,近地铁，满五，精装修，总价低，明星小区,低楼层 (共8层) | 2012年建 | 3室2厅 | 99.21平米 | 南 北,479,"48,282",2012,99.21,10,31.39687285,121.3667956,63491,2,保利叶语(一期)(公寓),31.34989223,121.3753166,60691,,,,
万科琥珀郡园,*，11米宽大横厅，南向视野无遮挡,高楼层 (共6层) | 2010年建 | 5室3厅 | 148.3平米 | 南,960,"64,734",2010,148.3,12,31.39687285,121.3667956,63491,2,北华苑,31.28718377,121.4215709,68665,,,,
万科琥珀郡园,万科琥珀郡园 3室0厅 南,低楼层 (共7层) | 2012年建 | 3室0厅 | 99.11平米 | 南,510,"51,458",2012,99.11,10,31.39687285,121.3667956,63491,2,滨江雅苑,31.21070291,121.5205268,67090.5,,,,
三湘盛世花园,*+房型佳+一号线+宝山万达+配套齐全+居家装修,低楼层 (共11层) | 2006年建 | 2室2厅 | 100.57平米 | 南,619,"61,550",2006,100.57,16,31.33149836,121.4580548,63491,2,铂金华府,31.28054725,121.4194113,82262.5,,,,
三花现代城(一期丹桂苑),低单价，低单价，南北通方正全明户型,低楼层 (共16层) | 2007年建 | 2室2厅 | 103.56平米 | 南 北,680,"65,663",2007,103.56,15,31.32314556,121.4822288,63491,2,铂珏公馆,31.41481875,121.3607373,38817,,,,
三花现代城(一期丹桂苑),小区花园位置 中区楼层 满五年 业主诚意出售,中楼层 (共18层) | 2011年建 | 3室2厅 | 136.5平米 | 南 北,950,"69,598",2011,136.5,11,31.32314556,121.4822288,63491,2,采菊苑,31.35561775,121.3732015,49249.88889,,,,
三门路485弄,售后公房，南北通采光充足，配套设施齐全，交通便利,高楼层 (共6层) | 1996年建 | 4室2厅 | 110.08平米 | 南,620,"56,323",1996,110.08,26,31.31862695,121.4998612,63491,2,昌鑫时代绿园,31.33455689,121.468602,55171,,,,
三门路485弄,：满五年+南北通格局+有露台+配套齐全+双轨交。,高楼层 (共6层) | 1996年建 | 3室2厅 | 111.04平米 | 南,620,"55,836",1996,111.04,26,31.31862695,121.4998612,63491,2,昌鑫世纪园,31.33446289,121.458162,54362,,,,
三门路485弄,视野开阔，采光充足，配套成熟。,高楼层 (共6层) | 1997年建 | 2室1厅 | 68.24平米 | 南 北,400,"58,617",1997,68.24,25,31.31862695,121.4998612,63491,2,昌鑫协和园,31.33250289,121.455666,58756,,,,
三门路485弄,满五年+南北通格局+有露台+配套齐全+双轨交。,高楼层 (共6层) | 1996年建 | 3室2厅 | 110平米 | 南 北,598,"54,364",1996,110,26,31.31862695,121.4998612,63491,2,成亿宝盛家苑,31.36155399,121.4206152,43582.5,,,,
三门路489弄,满五无其他房子通风采光好配套设施齐全交通便捷总价低,低楼层 (共6层) | 1995年建 | 3室1厅 | 86.39平米 | 南,498,"57,646",1995,86.39,27,31.31933687,121.4994521,63491,2,城投世纪名城,31.33130642,121.4684856,46946,,,,
三门路489弄,小区安静 交通配套齐全 业主诚心卖,高楼层 (共6层) | 1995年建 | 2室1厅 | 55.08平米 | 南 北,293,"53,196",1995,55.08,27,31.31933687,121.4994521,63491,2,春江美庐(公寓),31.27578593,121.3208675,51606,,,,
三门路489弄,满五年税费少，通风好，光线好，交通便捷。,低楼层 (共6层) | 1995年建 | 2室1厅 | 54.91平米 | 南,320,"58,278",1995,54.91,27,31.31933687,121.4994521,63491,2,大华碧云天,31.29745158,121.401857,65866,,,,
三门路489弄,配套成熟 低楼层好一房 厅房同宽采光好,低楼层 (共6层) | 1995年建 | 1室1厅 | 48.86平米 | 南,265,"54,237",1995,48.86,27,31.31933687,121.4994521,63491,2,大华二村,31.27725185,121.423285,60673.25,,,,
上大聚丰园,店长首推！复式房实用面积200+，近7/15线，近产业园,高楼层 (共6层) | 2004年建 | 3室2厅 | 145.03平米 | 南,680,"46,887",2004,145.03,18,31.31520509,121.3916876,63491,2,大华公园世家康华苑,31.28683583,121.4155169,60505,,,,
上大聚丰园,双轨交，顶楼复式 有露台 大5房3卫,高楼层 (共6层) | 2004年建 | 5室2厅 | 139.76平米 | 南,750,"53,664",2004,139.76,18,31.31520509,121.3916876,63491,2,大华三村二街坊,31.28924324,121.4243462,60069,,,,
上大聚丰园,"7/15号线双轨交，上大CBD,电梯房 湖景房 视野好",高楼层 (共11层) | 2004年建 | 3室2厅 | 142.04平米 | 南 北,798,"56,182",2004,142.04,18,31.31520509,121.3916876,63491,2,大华一村,31.2797102,121.4282834,67346,,,,
上大聚丰园,上大聚丰园总价低南北通的两房 视野开阔采光好,高楼层 (共6层) | 2003年建 | 2室2厅 | 91.83平米 | 南,496,"54,013",2003,91.83,19,31.31520509,121.3916876,63491,2,大黄馨园,31.36624171,121.4272368,43514.2,,,,
上大阳光乾和园,08年次新商品房小区顶楼复式带露台三间朝南诚意出售,高楼层 (共6层) | 2008年建 | 3室2厅 | 142.8平米 | 南,675,"47,269",2008,142.8,14,31.30829675,121.4084083,63491,2,当代高邸,31.32389885,121.3934343,57055,,,,
上大阳光乾宁园,空中大别墅、近地铁、顶复三层、大露台、带地下车位,高楼层 (共6层) | 2005年建 | 5室2厅 | 196.89平米 | 南,1020,"51,806",2005,196.89,17,31.31837175,121.4108495,63491,2,德都路165弄,31.41574457,121.433208,35822,,,,
上大阳光乾心园,急售、带花园、品质小区、地铁口、一梯两户、诚意出售,低楼层 (共6层) | 2000年建 | 3室2厅 | 132.02平米 | 南,629,"47,645",2000,132.02,22,31.31363989,121.4175151,63491,2,荻泾苑,31.35341766,121.406888,36714,,,,
上大阳光乾静园,上大四房，南北双露台、近地铁、M5V1、诚意出售,高楼层 (共6层) | 2005年建 | 4室2厅 | 148.81平米 | 南 北,768,"51,610",2005,148.81,17,31.31789667,121.4136395,63491,2,东方丽都,31.3899839,121.440263,46709,,,,
上大阳光乾静园,近地铁7号线+精装两房+M5V1+诚意出售,高楼层 (共6层) | 2005年建 | 3室2厅 | 101.38平米 | 南 北,570,"56,225",2005,101.38,17,31.31789667,121.4136395,63491,2,东方帕堤欧,31.35765998,121.3929549,50077.5,,,,
上大阳光乾龙苑,满五税费低+南北两房+交通便利+采光好+诚心出售,高楼层 (共6层) | 1996年建 | 2室1厅 | 72.14平米 | 南,345,"47,824",1996,72.14,26,31.31188454,121.4079224,63491,2,都市花苑,31.34334376,121.4839973,40680,,,,
上置香岛原墅(公寓),此房*精装修，南北通两房，采光好，视野开阔,中楼层 (共9层) | 2011年建 | 2室2厅 | 102.27平米 | 南,458,"44,784",2011,102.27,11,31.41655413,121.3661703,63491,2,丰水宝邸(东苑),31.36287541,121.4019792,43966.33333,,,,
世华佳苑,大三房，得房率高，三开间朝南，税费少,低楼层 (共14层) | 2005年建 | 3室2厅 | 128.57平米 | 南 北,649,"50,479",2005,128.57,17,31.37335733,121.4414731,63491,2,丰水宝邸(西苑),31.36214887,121.399081,40248,,,,
世纪非凡怡园,小四房 精装修 中高层 采光充足,高楼层 (共12层) | 2008年建 | 4室2厅 | 99.72平米 | 北 南,430,"43,121",2008,99.72,14,31.35891339,121.3982819,63491,2,丰翔新城,31.3217112,121.3544861,40961.5,,,,
世纪非凡锦城,此房满五，且业主家庭名下只有一套，税费少，诚意出售,低楼层 (共18层) | 2008年建 | 3室2厅 | 111.51平米 | 南,452,"40,535",2008,111.51,14,31.3611085,121.3973993,63491,2,枫庭丽苑,31.28387487,121.414399,69665,,,,
世纪非凡锦城,三房两卫+大飞机户型+南北直通+配套齐全,低楼层 (共18层) | 2008年建 | 3室2厅 | 149.95平米 | 南 北,600,"40,014",2008,149.95,14,31.3611085,121.3973993,63491,2,葑润华庭,31.32901183,121.384503,55396.16667,,,,
世纪非凡锦城,此房满5v1税费低，精装修，可拎包入住,低楼层 (共18层) | 2008年建 | 1室1厅 | 70.11平米 | 南 北,303,"43,218",2008,70.11,14,31.3611085,121.3973993,63491,2,复星花园(行知路569弄),31.28884655,121.4182244,58860,,,,
世纪非凡锦城,此房满5v1税费低，精装修，可拎包入住,低楼层 (共18层) | 2008年建 | 1室1厅 | 70.11平米 | 南 北,303,"43,218",2008,70.11,14,31.3611085,121.3973993,63491,2,富都园,31.3531466,121.4332526,39569.5,,,,
世纪非凡锦城,南北直通户型正气+满五年税费少+房东诚意出售,低楼层 (共18层) | 2008年建 | 3室2厅 | 111.93平米 | 南,455,"40,651",2008,111.93,14,31.3611085,121.3973993,63491,2,富锦苑,31.40969923,121.4397275,32706.5,,,,
东方丽都,新上南北两房 满五 V一 户型正气 近地铁 高品质小区,低楼层 (共5层) | 2006年建 | 2室1厅 | 92.06平米 | 南 北,430,"46,709",2006,92.06,16,31.3899839,121.440263,63491,2,富隆苑,31.35082657,121.4310336,46813,,,,
东方帕堤欧,小区楼层独栋位置+前后采光无遮挡+小区低单价低、总价,低楼层 (共14层) | 2010年建 | 2室2厅 | 85.23平米 | 南,399,"46,815",2010,85.23,12,31.35765998,121.3929549,63491,2,高境二村,31.3278019,121.485191,55982.25,,,,
东方帕堤欧,新上全南两房，楼层好，小区环境好,高楼层 (共14层) | 2010年建 | 2室2厅 | 87.66平米 | 南,452,"51,563",2010,87.66,12,31.35765998,121.3929549,63491,2,高境一村,31.32533533,121.4867516,55141.71429,,,,
东方帕堤欧,新上全南两房，楼层好，小区环境好,高楼层 (共14层) | 2010年建 | 2室2厅 | 87.66平米 | 南,452,"51,563",2010,87.66,12,31.35765998,121.3929549,63491,2,共富二村,31.35455387,121.438083,41510.22222,,,,
东方帕堤欧,满五年，精装修，南北通透，诚意出售，户型好。,低楼层 (共18层) | 2010年建 | 3室2厅 | 85.37平米 | 南 北,430,"50,369",2010,85.37,12,31.35765998,121.3929549,63491,2,共富花园,31.355626,121.4358893,39711,,,,
中冶锦园,房子拎包入住 前后无遮挡 适合夫妻两个居住,低楼层 (共11层) | 2015年建 | 2室2厅 | 75.28平米 | 南 北,268,"35,601",2015,75.28,7,31.43496363,121.4162919,63491,2,共富三村,31.35460067,121.4326931,44114.5,,,,
中冶锦园,次新电梯房，南北套两房，全明户型,低楼层 (共10层) | 2015年建 | 2室2厅 | 75.38平米 | 南 北,268,"35,554",2015,75.38,7,31.43496363,121.4162919,63491,2,共富四村,31.35629254,121.4312832,44191.16667,,,,
中冶锦园,房子拎包入住 前后无遮挡 适合夫妻两个居住,低楼层 (共11层) | 2015年建 | 2室1厅 | 74.53平米 | 南 北,257,"34,483",2015,74.53,7,31.43496363,121.4162919,63491,2,共富一村,31.35861521,121.4364786,43658.57143,,,,
中怡家园,2014年的新小区 电梯房 两梯四户，全南房型 好楼层,低楼层 (共24层) | 2014年建 | 2室1厅 | 86.68平米 | 南,339,"39,110",2014,86.68,8,31.36195299,121.3827321,63491,2,共和三村,31.32776728,121.4648478,50726,,,,
中怡家园,2014年的新小区 ，电梯房 ，两梯四户，总价低,低楼层 (共18层) | 2014年建 | 2室2厅 | 77.95平米 | 南,320,"41,052",2014,77.95,8,31.36195299,121.3827321,63491,2,共和四村,31.32672228,121.4616976,46444,,,,
中怡家园,此房一手动迁，14年次新小区 动迁税费少,低楼层 (共18层) | 2014年建 | 3室1厅 | 101.71平米 | 南 北,410,"40,311",2014,101.71,8,31.36195299,121.3827321,63491,2,共和小区,31.26146539,121.4704854,58722.66667,,,,
中环一号(一期),中环一号非一楼大四房，采光无遮挡，满五年电梯房,低楼层 (共14层) | 2009年建 | 4室2厅 | 150.83平米 | 南 北,970,"64,311",2009,150.83,13,31.29873859,121.4103008,63491,2,共和一村,31.3285631,121.4705475,51085.33333,,,,
中环一号(一期),小区花园边，产证满五税少，全明户型，带入户门厅,低楼层 (共14层) | 2011年建 | 4室2厅 | 131.95平米 | 南,900,"68,208",2011,131.95,11,31.29873859,121.4103008,63491,2,共康八村,31.33040783,121.4395595,52013,,,,
中环一号(一期),全明大两房，满五税费少，房型正气,低楼层 (共11层) | 2008年建 | 2室2厅 | 93.26平米 | 南,625,"67,017",2008,93.26,14,31.29873859,121.4103008,63491,2,共康六村,31.33422077,121.4454699,51290,,,,
中环一号(一期),满五年 精装修 可以拎包入住楼层好 视野开阔,低楼层 (共14层) | 2009年建 | 3室2厅 | 128.49平米 | 西,860,"66,932",2009,128.49,13,31.29873859,121.4103008,63491,2,共康路400弄,31.327012,121.444762,51599.5,,,,
中环一号(二期),满五税少，三开间朝南采光好，南北通透价格实惠大四房,低楼层 (共16层) | 2012年建 | 4室2厅 | 134.17平米 | 南 北,920,"68,570",2012,134.17,10,31.29489087,121.408925,63491,2,共康七村,31.33386683,121.4426836,53419,,,,
中环一号(二期),满五年带地暖，南北通透，花园位置，有车位，产权清晰,低楼层 (共18层) | 2012年建 | 3室2厅 | 122.92平米 | 南 北,797,"64,839",2012,122.92,10,31.29489087,121.408925,63491,2,古北菊翔苑(菊联路232弄),31.35246701,121.3702407,48058,,,,
中环国际公寓(二期),2015年次新房，全明户型，小两房。,低楼层 (共17层) | 2015年建 | 2室1厅 | 67.32平米 | 南 北,460,"68,331",2015,67.32,7,31.33829919,121.4283531,63491,2,古北菊翔苑(菊联路233弄),31.3522321,121.3705386,48240.5,,,,
中环国际公寓(二期),中环国际公寓二期经典三房，全明采光，价格好诚意卖,低楼层 (共17层) | 2015年建 | 3室2厅 | 109.16平米 | 南,679,"62,203",2015,109.16,7,31.33829919,121.4283531,63491,2,海滨八村,31.3876728,121.5052383,43686.66667,,,,
中环泰和里,房子一手动迁，无增值税，全明南北通大三房,低楼层 (共6层) | 2008年建 | 3室2厅 | 115.58平米 | 南 北,607,"52,518",2008,115.58,14,31.09705789,121.607097,63491,2,海滨二村(宝山),31.38690892,121.498165,42733.75,,,,
中铁青秀城东区,品质小区，纯毛坯，满两年，电梯房,低楼层 (共11层) | 2015年建 | 3室2厅 | 88.68平米 | 南,405,"45,670",2015,88.68,7,31.36649963,121.4032858,63491,2,海滨六村,31.39174718,121.5026185,42769,,,,
中铁青秀城东区,2015年次新房小区，中铁开发，精装修，看房方便,低楼层 (共11层) | 2015年建 | 3室2厅 | 90.08平米 | 南 北,420,"46,626",2015,90.08,7,31.36649963,121.4032858,63491,2,海滨七村,31.3918869,121.503638,43446,,,,
中铁青秀城西区,次新房小区，低总价，带装修，全南户型小两房,低楼层 (共15层) | 2016年建 | 2室2厅 | 79.78平米 | 南,380,"47,631",2016,79.78,6,31.36630577,121.4011013,63491,2,海滨三村,31.388282,121.4988739,50191,,,,
丰水宝邸(东苑),此房满五年，是南北直通的大三房，带花园，采光无遮挡,低楼层 (共11层) | 2005年建 | 3室2厅 | 90.39平米 | 南 北,386,"42,704",2005,90.39,17,31.36287541,121.4019792,63491,2,海滨四村,31.3894752,121.5005868,41779,,,,
丰水宝邸(东苑),低总价，小户型，南北通两房，一手动迁满五年,低楼层 (共6层) | 2005年建 | 2室2厅 | 70.52平米 | 南,310,"43,960",2005,70.52,17,31.36287541,121.4019792,63491,2,海滨五村,31.38847397,121.5033309,44778,,,,
丰水宝邸(东苑),带花园两房，南北通透，采光充足，精装修拎包入住,低楼层 (共6层) | 2005年建 | 2室2厅 | 78.48平米 | 南 北,355,"45,235",2005,78.48,17,31.36287541,121.4019792,63491,2,海滨新村,31.83559998,121.3384021,41047.55556,,,,
丰水宝邸(西苑),低总价 南北通双南户型 满5唯1 无增值税个税 有院子,低楼层 (共14层) | 2006年建 | 2室2厅 | 73.4平米 | 南,323,"44,006",2006,73.4,16,31.36214887,121.399081,63491,2,海江二村,31.39841493,121.509553,46331.46667,,,,
丰水宝邸(西苑),正宗南北通大三房，动迁满五年，业主置换诚心出售,低楼层 (共11层) | 2006年建 | 3室2厅 | 122.5平米 | 南,447,"36,490",2006,122.5,16,31.36214887,121.399081,63491,2,海江新村,31.83559998,121.3384021,39836.83333,,,,
丰翔新城,采光好，户型方正，楼间距大无遮挡,低楼层 (共31层) | 2009年建 | 2室2厅 | 85.15平米 | 南,350,"41,104",2009,85.15,13,31.3217112,121.3544861,63491,2,海尚明城,31.40047687,121.454254,43927.75,,,,
丰翔新城,【降价啦】丰翔2房，区总推荐，满五税费低，随时可看,低楼层 (共27层) | 2009年建 | 2室2厅 | 86.97平米 | 南,355,"40,819",2009,86.97,13,31.3217112,121.3544861,63491,2,好日子大家园A区,31.35843875,121.3715975,44771,,,,
丽景翠庭,满五年，采光好视野佳，户型好，配套设施齐全,高楼层 (共5层) | 2008年建 | 2室2厅 | 80.7平米 | 南,375,"46,469",2008,80.7,14,31.39483926,121.4372148,63491,2,好日子大家园B区,31.35700903,121.3676043,47381.77778,,,,
丽景翠庭,此房南北通户型，满五，中间楼层业主，诚意出售,中楼层 (共12层) | 2008年建 | 2室1厅 | 87.49平米 | 南,415,"47,434",2008,87.49,14,31.39483926,121.4372148,63491,2,好日子大家园C区,31.35540868,121.3632998,43817.57143,,,,
丽景翠庭,满五年，楼层佳，南北通，业主诚意出售,中楼层 (共13层) | 2009年建 | 2室1厅 | 87.74平米 | 南,410,"46,729",2009,87.74,13,31.39483926,121.4372148,63491,2,好日子大家园D区,31.35362088,121.359127,45467.7,,,,
乐业一村,近地铁，两房朝南，房型正气，业主诚意出售,高楼层 (共6层) | 1993年建 | 2室1厅 | 55.83平米 | 南,205,"36,719",1993,55.83,29,31.41728418,121.4408977,63491,2,好旺花苑,31.29238285,121.4211104,59322,,,,
乐业一村,满五年！小三房！适合一家居住，疫情可看有钥匙,高楼层 (共6层) | 1994年建 | 3室1厅 | 71.85平米 | 南,268,"37,300",1994,71.85,28,31.41728418,121.4408977,63491,2,和欣国际花园,31.34179799,121.4419835,78062,,,,
乐业一村,3号线起点站江杨北路 通勤便利 看房方便,高楼层 (共6层) | 1994年建 | 2室1厅 | 54.14平米 | 南,198,"36,572",1994,54.14,28,31.41728418,121.4408977,63491,2,恒盛豪庭,31.32892809,121.4760568,62395,,,,
乐业一村,采光好！位置佳！一梯两户！近地铁！间距大！拎包 住,高楼层 (共6层) | 1994年建 | 1室1厅 | 41.13平米 | 南,160,"38,902",1994,41.13,28,31.41728418,121.4408977,63491,2,宏润韶光花园,31.35848979,121.3961734,44248,,,,
乐业一村,满五年！小三房！适合一家居住，疫情可看有钥匙,高楼层 (共6层) | 1994年建 | 3室1厅 | 71.85平米 | 南,268,"37,300",1994,71.85,28,31.41728418,121.4408977,63491,2,呼玛二村,31.34725655,121.4533097,48943.5,,,,
乐业一村,满五年！小三房！紧凑！精装修，视野开阔,高楼层 (共6层) | 1993年建 | 3室1厅 | 72.66平米 | 南,270,"37,160",1993,72.66,29,31.41728418,121.4408977,63491,2,呼玛三村,31.34571239,121.448102,54000.36364,,,,
乐业一村,房子近地铁3号线江杨北路站，门口就有中冶医院。,高楼层 (共6层) | 1993年建 | 2室1厅 | 54.98平米 | 南,210,"38,196",1993,54.98,29,31.41728418,121.4408977,63491,2,呼玛五村,31.34705926,121.4455052,49808.6,,,,
乐业一村,乐业一村！采光好！带装修！满五年！位置佳！交通便！,高楼层 (共6层) | 1994年建 | 2室1厅 | 56.1平米 | 南,205,"36,542",1994,56.1,28,31.41728418,121.4408977,63491,2,呼玛一村,31.34814388,121.4583018,51363,,,,
乐业二村,视野宽阔！采光充足！配套实施齐全！交通便利,高楼层 (共6层) | 1995年建 | 3室1厅 | 71.73平米 | 南,265,"36,945",1995,71.73,27,31.41801191,121.4392359,63491,2,虎林路518弄,31.34622311,121.4621598,40670,,,,
乐业二村,双南户型的两房，视野开阔，位置优越,高楼层 (共6层) | 1995年建 | 2室1厅 | 57.38平米 | 南,205,"35,727",1995,57.38,27,31.41801191,121.4392359,63491,2,环绿国际,31.36218741,121.390882,40503,,,,
乐业二村,乐业二村！采光好！带装修！满五年！位置佳！交通便！,高楼层 (共6层) | 1995年建 | 2室1厅 | 54.97平米 | 南 北,203,"36,930",1995,54.97,27,31.41801191,121.4392359,63491,2,汇枫景苑,31.32840432,121.3774561,51868,,,,
乐业五村,精装小三房，采光明亮，满5年，交通生活便利,高楼层 (共6层) | 1994年建 | 3室1厅 | 60.52平米 | 南 北,208,"34,369",1994,60.52,28,31.41924054,121.4302439,63491,2,惠民公寓,31.22801521,121.4566429,52151.4,,,,
乐业五村,乐业五村吉买盛200米处，采光明亮充足，简单装修,高楼层 (共6层) | 1995年建 | 2室2厅 | 69.59平米 | 南,247,"35,494",1995,69.59,27,31.41924054,121.4302439,63491,2,慧华东苑,31.31442057,121.4059645,49521,,,,
乐业五村,1997年房龄，双南户型满5年，中间套户型，采光充足,高楼层 (共6层) | 1997年建 | 2室1厅 | 55.87平米 | 南,204,"36,514",1997,55.87,25,31.41924054,121.4302439,63491,2,慧华苑,31.31490052,121.4024904,51041.5,,,,
乐业五村,满五炜①，南北房，全明户型，有平改坡，诚信出售,高楼层 (共6层) | 1996年建 | 2室1厅 | 56.26平米 | 南 北,198,"35,194",1996,56.26,26,31.41924054,121.4302439,63491,2,吉浦路615弄,31.32326725,121.4986004,55253.85714,,,,
乐业五村,好房推荐，南北二室，满五年，房龄较新，业主诚售。,高楼层 (共6层) | 1994年建 | 2室1厅 | 56.18平米 | 南 北,190,"33,820",1994,56.18,28,31.41924054,121.4302439,63491,2,嘉骏花苑,31.33546763,121.4805218,63505.5,,,,
乐业五村,满五 中间楼层 双南 精装修 看房方便 业主诚心售,中楼层 (共6层) | 1995年建 | 2室1厅 | 68.61平米 | 南,251,"36,584",1995,68.61,27,31.41924054,121.4302439,63491,2,嘉骏香山苑,31.24265301,121.4106201,61320.5,,,,
乐业五村,满五 中间楼层 双南朝向 户型方正 全明,中楼层 (共6层) | 1997年建 | 3室2厅 | 97.55平米 | 南 北,360,"36,905",1997,97.55,25,31.41924054,121.4302439,63491,2,杰圣家苑,31.32727273,121.4809894,65121.25,,,,
乐业五村,南北户型满5年一套住房看房预约顶楼有平改坡！,高楼层 (共6层) | 1996年建 | 2室1厅 | 56.66平米 | 南,195,"34,416",1996,56.66,26,31.41924054,121.4302439,63491,2,金地艺境(宝山),31.02448926,121.1938035,52460.75,,,,
乐业五村,南北户型，采光明亮，满5年，交通便利,高楼层 (共6层) | 1994年建 | 2室1厅 | 54.59平米 | 南 北,205,"37,553",1994,54.59,28,31.41924054,121.4302439,63491,2,金丰苑三居,31.39822945,121.3415991,35332,,,,
九英里,满五年+全明户型+南北通+位置好+业主诚意出售,低楼层 (共12层) | 2007年建 | 2室2厅 | 98.38平米 | 南 北,638,"64,851",2007,98.38,15,31.33679351,121.4373575,63491,2,金丰苑一居,31.40090329,121.3397396,31594,,,,
