place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,
万千公寓,交通便利，采光充足，配套齐全，南北通透,低楼层 (共28层) | 2000年建 | 3室2厅 | 127.24平米 | 南 北,775,"60,909",2000,127.24,22,31.26250926,121.437575,70500,1,爱建新村,31.24945384,121.404576,65306,,,,,,,
上钞苑,准电梯房，跃层大三房+露台+阁楼，南北通，视野阔,高楼层 (共6层) | 1999年建 | 3室2厅 | 135.5平米 | 南,1070,"78,967",1999,135.5,23,31.24529937,121.3939969,70500,1,曹杨二村,31.25010184,121.411745,62987.2,,,,,,,
上钞苑,2000年小区，环境好，位置好，户型好，业主诚意。,高楼层 (共6层) | 2001年建 | 2室2厅 | 94.64平米 | 南,838,"88,547",2001,94.64,21,31.24529937,121.3939969,70500,1,曹杨花苑,31.26311033,121.4089622,64369.5,,,,,,,
上钞苑,北欧精装，四房复式，双层等高，正对花园，阳光通透,高楼层 (共6层) | 2001年建 | 4室2厅 | 122.91平米 | 南,859,"69,889",2001,122.91,21,31.24529937,121.3939969,70500,1,曹杨家园,31.26429163,121.4104407,67620.5,,,,,,,
上钞银杏苑,满五唯/一双南通透+近地铁+小区中间/银杏树美不胜收,低楼层 (共6层) | 1996年建 | 2室1厅 | 71.39平米 | 南,600,"84,046",1996,71.39,26,31.24467812,121.3984121,70500,1,曹杨九村,31.2381495,121.4098972,68892.25,,,,,,,
上青佳园,房中貂蝉 双地铁交汇 人车分流 单价低大面积,中楼层 (共16层) | 2004年建 | 4室2厅 | 277.26平米 | 南,1670,"60,233",2004,277.26,18,31.24802599,121.4434902,70500,1,曹杨君悦苑,31.2456609,121.419168,67016.5,,,,,,,
上青佳园,上青家园高区复式带露台视野开阔景观好,高楼层 (共16层) | 2003年建 | 5室2厅 | 305.74平米 | 西南 东北 南 东,2698,"88,245",2003,305.74,19,31.24802599,121.4434902,70500,1,曹杨六村(兰溪园),31.24478185,121.420599,67537.5,,,,,,,
上青佳园,上青佳园三期 09年次新房 稀有顶楼复式 南北都有窗,高楼层 (共15层) | 2009年建 | 5室3厅 | 252.82平米 | 南 北,2250,"88,997",2009,252.82,13,31.24802599,121.4434902,70500,1,曹杨六村(沙溪园),31.24208778,121.4188039,68550,,,,,,,
上青佳园,内环内，人车分流小区，满五年，税费低。,中楼层 (共30层) | 2004年建 | 1室1厅 | 86.24平米 | 南,786,"91,142",2004,86.24,18,31.24802599,121.4434902,70500,1,曹杨三村(兰岭园),31.24870912,121.4075541,65427.8,,,,,,,
世纪之门,满五售后公房，诚意出售，全明户型采光好，长寿靠静安,低楼层 (共22层) | 1999年建 | 2室2厅 | 101.3平米 | 东 南,915,"90,326",1999,101.3,23,31.25382483,121.4455031,70500,1,曹杨四村(兰花大楼),31.24375321,121.4139937,69829,,,,,,,
世纪之门,洋房小高层，看小区花园，阳光视野好,低楼层 (共12层) | 1998年建 | 2室2厅 | 101.82平米 | 南,920,"90,356",1998,101.82,24,31.25382483,121.4455031,70500,1,曹杨四村(兰花园),31.24289337,121.4132939,72833,,,,,,,
世纪之门,满五普宅，通燃气出租自住双向选择，诚意出售,低楼层 (共25层) | 2001年建 | 1室0厅 | 42.06平米 | 东,398,"94,627",2001,42.06,21,31.25382483,121.4455031,70500,1,曹杨四村(枣阳园),31.24318637,121.4103756,70360,,,,,,,
世纪之门,满五差额税少，全明户型采光好，自住装修好，保姆间,低楼层 (共12层) | 1998年建 | 2室2厅 | 120.34平米 | 南,1150,"95,563",1998,120.34,24,31.25382483,121.4455031,70500,1,曹杨五村(芙蓉园),31.23957634,121.4121822,69240.25,,,,,,,
世纪之门,满五差额税少，无抵押采光好，江宁长寿路，全屋地暖,中楼层 (共10层) | 1998年建 | 2室2厅 | 125.66平米 | 南,1130,"89,926",1998,125.66,24,31.25382483,121.4455031,70500,1,曹杨五村(金岭园),31.23946827,121.4158672,71785.75,,,,,,,
世纪之门,精装修两房，江宁长寿路，装修比较好,高楼层 (共23层) | 2001年建 | 2室2厅 | 67.19平米 | 西北,590,"87,811",2001,67.19,21,31.25382483,121.4455031,70500,1,曹杨五村(梅花园),31.24274101,121.4154445,71626.5,,,,,,,
世纪之门,很少出售高层复式，满五年，视野采光很好。,高楼层 (共23层) | 2001年建 | 2室2厅 | 124.97平米 | 南 北,998,"79,860",2001,124.97,21,31.25382483,121.4455031,70500,1,曹杨五村(南杨园),31.23884783,121.412473,71927.66667,,,,,,,
世纪之门,小户型，通燃气，看苏州河和梦清园，景观好，楼层高,高楼层 (共23层) | 2001年建 | 1室1厅 | 34.91平米 | 东北,314,"89,946",2001,34.91,21,31.25382483,121.4455031,70500,1,曹杨五村(杏梅园),31.2404806,121.4138947,70278.25,,,,,,,
世纪之门,全南户型，高区无遮看河景，江宁路长寿路 看房方便,中楼层 (共23层) | 2001年建 | 2室1厅 | 60.61平米 | 南,580,"95,694",2001,60.61,21,31.25382483,121.4455031,70500,1,曹杨五月天,31.2667443,121.4148096,67848.66667,,,,,,,
世纪之门,马中赤兔，房中吕布，精品房静待有缘人,中楼层 (共25层) | 2001年建 | 2室1厅 | 59.36平米 | 东,560,"94,340",2001,59.36,21,31.25382483,121.4455031,70500,1,曹杨新苑,31.26661628,121.4111921,72364,,,,,,,
世纪之门,想在花园里晒太阳 苏州河南边 心动想来看看 手慢无,低楼层 (共2层) | 1998年建 | 4室2厅 | 176.64平米 | 南 北,1580,"89,448",1998,176.64,24,31.25382483,121.4455031,70500,1,常德大厦,31.24693989,121.443013,69892,,,,,,,
世纪之门,前无遮挡，光线挺好的，自如装修满五年，小区中间位置,低楼层 (共22层) | 1998年建 | 2室1厅 | 93.08平米 | 南,838,"90,031",1998,93.08,24,31.25382483,121.4455031,70500,1,朝霞新苑,31.24701153,121.3725878,70785,,,,,,,
东新支路55弄,满五年近地铁，格局通透视野采光好，交通便利,高楼层 (共7层) | 1987年建 | 1室1厅 | 39.49平米 | 南,260,"65,840",1987,39.49,35,31.24906871,121.4313689,70500,1,车站新村(普陀),31.26648155,121.4084672,65540.81818,,,,,,,
东新支路55弄,满五年近地铁，格局通透视野采光好，交通便利,高楼层 (共7层) | 1987年建 | 1室1厅 | 39.49平米 | 南,260,"65,840",1987,39.49,35,31.24906871,121.4313689,70500,1,大华颐和华城(公寓),31.28039734,121.4077184,79676.53846,,,,,,,
东新支路55弄,内环内，近14号线地铁口，六轨交汇，小区改造翻新。,中楼层 (共7层) | 1987年建 | 1室1厅 | 44.03平米 | 南 西,296,"67,227",1987,44.03,35,31.24906871,121.4313689,70500,1,大隆花苑,31.26340465,121.4388425,59219,,,,,,,
东新支路55弄,近地铁14号线 六轨交 美丽家园改建 中间楼层 采光充足,中楼层 (共7层) | 1987年建 | 1室0厅 | 37.97平米 | 北,265,"69,792",1987,37.97,35,31.24906871,121.4313689,70500,1,德诚大厦,31.25051498,121.4396797,71266,,,,,,,
东新支路55弄,内环内，近14号线地铁口，满五税少，小区翻新，六轨交,低楼层 (共7层) | 1989年建 | 1室0厅 | 30.88平米 | 北,218,"70,596",1989,30.88,33,31.24906871,121.4313689,70500,1,德怡苑,31.24918641,121.4394375,79964,,,,,,,
东新苑,内环复式带露台/一梯两户得房率高/六轨交/满五Vyi,高楼层 (共6层) | 2000年建 | 4室2厅 | 146.67平米 | 南,1300,"88,635",2000,146.67,22,31.24944404,121.4324275,70500,1,电力公寓,31.24986328,121.4415522,83419,,,,,,,
东沙小区,满五年毛坯房，交通3/4/7/11/13/14就在脚下，武宁路口,高楼层 (共6层) | 1991年建 | 1室1厅 | 33.37平米 | 南,253,"75,817",1991,33.37,31,31.24388466,121.432753,70500,1,东泉苑小区,31.27661939,121.4385326,64108,,,,,,,
东沙小区,满五年，交通便利，内环内，单价低,高楼层 (共6层) | 1991年建 | 2室1厅 | 41.6平米 | 东 北,318,"76,443",1991,41.6,31,31.24388466,121.432753,70500,1,东沙小区,31.24388466,121.432753,76130,,,,,,,
东泉苑小区,大天井 采光好 通风效果佳 看房方便 欢迎看房,低楼层 (共14层) | 1997年建 | 2室2厅 | 93.9平米 | 西南,580,"61,768",1997,93.9,25,31.27661939,121.4385326,70500,1,东新苑,31.24944404,121.4324275,88635,,,,,,,
东泉苑小区,电梯高区 南北通透 视野开阔,高楼层 (共13层) | 1993年建 | 2室1厅 | 69.98平米 | 南 北,465,"66,448",1993,69.98,29,31.27661939,121.4385326,70500,1,东新支路55弄,31.24906871,121.4313689,67859,,,,,,,
中关村公寓,奢华装修带地暖/三开间朝南/客厅朝西落地窗/采光充足,低楼层 (共18层) | 2005年建 | 3室2厅 | 141.9平米 | 南 北,1250,"88,091",2005,141.9,17,31.24672386,121.421997,70500,1,芙蓉花苑,31.25214384,121.436796,92106,,,,,,,
中宁家园,中宁家园 2室2厅 南 北,低楼层 (共11层) | 2004年建 | 2室2厅 | 102.19平米 | 南 北,760,"74,372",2004,102.19,18,31.25497476,121.4228361,70500,1,甘泉二村,31.26770895,121.4369045,61484,,,,,,,
中山北路2185弄,正气一房，全明户型，采光无遮挡，业主诚意出售,中楼层 (共6层) | 1986年建 | 1室1厅 | 31.98平米 | 南,230,"71,920",1986,31.98,36,31.23592904,121.4805389,70500,1,甘泉三村,31.26726216,121.432618,65165,,,,,,,
中山北路2185弄,地铁近出行方便，满五年一套税费少，双南户型采光好。,高楼层 (共6层) | 1986年建 | 2室1厅 | 50.14平米 | 南,340,"67,811",1986,50.14,36,31.23592904,121.4805389,70500,1,甘泉一村,31.27070491,121.4384654,61094.08696,,,,,,,
中山北路2185弄,"镇坪路地铁铁站3,4,7号线，房东诚意出售",高楼层 (共6层) | 1985年建 | 2室1厅 | 42.66平米 | 北,280,"65,636",1985,42.66,37,31.23592904,121.4805389,70500,1,甘泉苑,31.27601416,121.4361909,63165.5,,,,,,,
中山北路2626弄,内环内，普陀内环，中间楼层，地铁沿线,中楼层 (共5层) | 1975年建 | 1室1厅 | 39.21平米 | 南,276,"70,391",1975,39.21,47,31.23592904,121.4805389,70500,1,龚家宅,31.45520725,121.2983956,58212,,,,,,,
中山北路2626弄,内环内，地铁沿线，大一房，中间楼层,中楼层 (共5层) | 1975年建 | 1室1厅 | 39.44平米 | 南 北,268,"67,952",1975,39.44,47,31.23592904,121.4805389,70500,1,管弄三街坊,31.63022573,121.4051881,67029,,,,,,,
中山润园,沿河看苏州河，c位，南北通，精装修，来电即看！,中楼层 (共17层) 5室2厅 | 176.42平米 | 南 北,2280,"129,238",,176.42,,22.52939104,113.376476,70500,1,管弄四街坊,31.63022573,121.4051881,67439,,,,,,,
中浩云花园,小区中间位置，采光很好，面积大，房东诚意卖,低楼层 (共24层) | 2008年建 | 2室2厅 | 106.64平米 | 南 北,908,"85,147",2008,106.64,14,31.26834139,121.4228271,70500,1,管弄五六街坊,31.26444758,121.4308555,67842.27273,,,,,,,
中环名品公馆,空中花园，满五年，人车分流，距离15号线在线50米,低楼层 (共31层) | 2013年建 | 2室2厅 | 87.06平米 | 南,828,"95,107",2013,87.06,9,31.28996032,121.4026081,70500,1,管弄一二街坊,31.6286573,121.4056384,71275,,,,,,,
中环家园,满五且一+南北通大三房+带大飘窗+精装诚意出售,低楼层 (共9层) | 2003年建 | 3室2厅 | 146.5平米 | 南 北,1198,"81,775",2003,146.5,19,31.27167546,121.4196365,70500,1,光新路129弄,31.23592904,121.4805389,68152.6,,,,,,,
中环家园,南北直通户型方正+小区中间位置+满五年+业主诚意出售,低楼层 (共10层) | 2003年建 | 2室2厅 | 108.03平米 | 南 北,850,"78,682",2003,108.03,19,31.27167546,121.4196365,70500,1,光新三村,30.96679839,121.842184,64433,,,,,,,
中环家园,满五年，税费少，高区南北两房，视野好 诚意出售。,高楼层 (共26层) | 2004年建 | 2室2厅 | 111.59平米 | 南 北,925,"82,893",2004,111.59,18,31.27167546,121.4196365,70500,1,光新苑,31.2593509,121.438835,61590.66667,,,,,,,
中环家园,"满五only one,位于小区安静位置，南北正气户型",低楼层 (共15层) | 2003年建 | 3室2厅 | 143.76平米 | 南 北,1187,"82,569",2003,143.76,19,31.27167546,121.4196365,70500,1,桂巷新村,31.34166468,121.461549,74482.71429,,,,,,,
中环家园,顶楼复式，户型方正，采光无遮挡，得房率高，到价签字,高楼层 (共7层) | 2003年建 | 4室3厅 | 195.5平米 | 南 北,1650,"84,399",2003,195.5,19,31.27167546,121.4196365,70500,1,海普苑,31.25760679,121.3908614,77217,,,,,,,
中环家园,中间位置，精装修大面积三房，诚意出售,低楼层 (共11层) | 2003年建 | 3室2厅 | 145.04平米 | 南 北,1136,"78,324",2003,145.04,19,31.27167546,121.4196365,70500,1,海棠苑,31.16599862,121.3486688,60484.33333,,,,,,,
中环家园,满五，南北通，两卫 ，小区景观优，美绿树成荫,低楼层 (共11层) | 2003年建 | 2室2厅 | 117.16平米 | 南 北,940,"80,233",2003,117.16,19,31.27167546,121.4196365,70500,1,海鑫公寓,31.2295759,121.416421,48178,,,,,,,
中环家园,品质小区 南北通两房 有产权车位,中楼层 (共11层) | 2004年建 | 2室1厅 | 103.47平米 | 南 北,868,"83,890",2004,103.47,18,31.27167546,121.4196365,70500,1,合阳小区,31.27039934,121.4453,65448.5,,,,,,,
中环家园,房子满五年，仅有的一套自住房，建议实地看房,低楼层 (共26层) | 2004年建 | 2室2厅 | 110.08平米 | 南,910,"82,668",2004,110.08,18,31.27167546,121.4196365,70500,1,和平新村,31.09674735,121.4420722,76302,,,,,,,
中环花苑,网红小区，中间位置私密性好，绿化围绕彷佛置身别墅里,低楼层 (共18层) | 2008年建 | 3室2厅 | 138.09平米 | 南,1098,"79,514",2008,138.09,14,31.27080013,121.4234568,70500,1,恒盛鼎城华公馆,31.28368924,121.3966504,79052.375,,,,,,,
中环锦园,品质小区，电梯房，第二排，采光通风好,低楼层 (共26层) | 2005年建 | 2室2厅 | 104.7平米 | 南,830,"79,275",2005,104.7,17,31.27520138,121.4186235,70500,1,华经大厦,31.26417055,121.4512396,64204,,,,,,,
中环锦园,双南房型，配套齐全，总价低，房东诚意出售,低楼层 (共25层) | 2005年建 | 2室2厅 | 98.31平米 | 南,778,"79,138",2005,98.31,17,31.27520138,121.4186235,70500,1,华师大一村,31.23210653,121.4171359,98258.30769,,,,,,,
中环锦园,品质小区，电梯房，全明户型，采光通风好,低楼层 (共26层) | 2005年建 | 2室2厅 | 106平米 | 南,838,"79,057",2005,106,17,31.27520138,121.4186235,70500,1,华延公寓,31.26608198,121.4345383,58614,,,,,,,
中环锦园,品质小区，电梯房，全明户型，采光通风好,低楼层 (共26层) | 2005年建 | 2室2厅 | 106平米 | 南,838,"79,057",2005,106,17,31.27520138,121.4186235,70500,1,华阴小区,31.26804446,121.4525671,64909,,,,,,,
中环锦园,05年小区，电梯高楼层，南北通全明户型,中楼层 (共24层) | 2005年建 | 2室2厅 | 106.78平米 | 南,880,"82,413",2005,106.78,17,31.27520138,121.4186235,70500,1,黄陵小区,31.26881641,121.4328797,68337.33333,,,,,,,
中环锦园,此房满五年，无个税，南北通三房，视野开阔，采光好，,低楼层 (共22层) | 2005年建 | 3室2厅 | 137.35平米 | 南 北,1068,"77,758",2005,137.35,17,31.27520138,121.4186235,70500,1,佳祥公寓,31.25676384,121.3967188,61152,,,,,,,
中环锦园,05年小区，电梯高楼层，南北通全明户型,中楼层 (共24层) | 2005年建 | 2室2厅 | 106.78平米 | 南,880,"82,413",2005,106.78,17,31.27520138,121.4186235,70500,1,嘉富利大厦,31.25692566,121.4352489,68984,,,,,,,
中远两湾城,全开间朝南，三卧阳光，中高楼层，近地铁，有车位,中楼层 (共33层) | 2001年建 | 3室2厅 | 134.22平米 | 东南 南,1295,"96,484",2001,134.22,21,31.25805502,121.4476989,70500,1,嘉云苑,31.24958697,121.3778033,60224,,,,,,,
中远两湾城,远离轻轨，中间位置，前后小区花园，精装，诚意出售,高楼层 (共34层) | 2006年建 | 2室1厅 | 110.08平米 | 南,1080,"98,111",2006,110.08,16,31.25805502,121.4476989,70500,1,建德花园丁香苑,31.23783866,121.3657751,63145.5,,,,,,,
中远两湾城,苏河边+梦清园公园全景+看陆家嘴的繁华+边套通透,高楼层 (共33层) | 2004年建 | 4室2厅 | 165.26平米 | 南,1616,"97,786",2004,165.26,18,31.25805502,121.4476989,70500,1,建德花园郁金香苑(公寓),31.2399805,121.3647378,60893,,,,,,,
中远两湾城,中间楼栋+位置安静+南北通+正南正北+前后双景,中楼层 (共30层) | 2003年建 | 3室2厅 | 121.82平米 | 西南,1170,"96,044",2003,121.82,19,31.25805502,121.4476989,70500,1,建德花园紫荆苑,31.24311443,121.3671926,65082.5,,,,,,,
中远两湾城,*+精装修+两卧朝南+户型正气+近地铁=安静不吵,低楼层 (共27层) | 2002年建 | 3室2厅 | 141.58平米 | 南 北,1325,"93,587",2002,141.58,20,31.25805502,121.4476989,70500,1,建德花园紫藤苑,31.24559876,121.3636255,56415,,,,,,,
中远两湾城,此房满五2/3wei一，带产权车位。离地铁近，出入便利,中楼层 (共27层) | 2002年建 | 3室2厅 | 142.81平米 | 南 北,1380,"96,632",2002,142.81,20,31.25805502,121.4476989,70500,1,江南名庐,31.24229186,121.422997,98625,,,,,,,
中远两湾城,内环内+五轨交汇+错层朝+苏州河畔景观房+有产权车位,低楼层 (共30层) | 2003年建 | 3室2厅 | 121.95平米 | 南 北,1175,"96,351",2003,121.95,19,31.25805502,121.4476989,70500,1,交暨小区,31.26948047,121.4282661,60720,,,,,,,
中远两湾城,满5V1税费少+中高区+看花园+总价低+单价低,中楼层 (共34层) | 2006年建 | 2室2厅 | 104.37平米 | 西南,970,"92,939",2006,104.37,16,31.25805502,121.4476989,70500,1,金鼎花苑,31.25537985,121.409704,66757.5,,,,,,,
中远两湾城,近地铁，看花园，摇新房，两房朝南且南北通风，诚意售,低楼层 (共32层) | 2006年建 | 2室1厅 | 105.95平米 | 东南 南,978,"92,308",2006,105.95,16,31.25805502,121.4476989,70500,1,金江家园,31.23898963,121.3710151,64047.5,,,,,,,
中远两湾城,十年出壹套的戶型，此套出售再無其他，值得畢生典藏,高楼层 (共36层) | 2000年建 | 5室3厅 | 322.57平米 | 南,3080,"95,484",2000,322.57,22,31.25805502,121.4476989,70500,1,金莲坊,31.25002466,121.3800895,63775.5,,,,,,,
中远两湾城,内环五轨大两房，看单价＋标签，实地看房随时来,低楼层 (共34层) | 2005年建 | 2室2厅 | 123.24平米 | 南 西,1035,"83,983",2005,123.24,17,31.25805502,121.4476989,70500,1,金梅园,31.24565086,121.409867,69125,,,,,,,
中远两湾城,内环＋复式＋位置安静＋户型南北通,高楼层 (共32层) | 2002年建 | 4室2厅 | 170.94平米 | 南,1580,"92,431",2002,170.94,20,31.25805502,121.4476989,70500,1,金沙嘉年华,31.24882196,121.3738205,81911,,,,,,,
中远两湾城,双南2房，中区楼层，看小区绿化水景，满五税低。,中楼层 (共33层) | 2001年建 | 2室2厅 | 103.24平米 | 南,1010,"97,831",2001,103.24,21,31.25805502,121.4476989,70500,1,金沙江小区,31.23678077,121.4149491,72936.33333,,,,,,,
中远两湾城,南北通+高区阳光+四期房龄新+精装自住+小区出入口,高楼层 (共34层) | 2006年建 | 2室2厅 | 111.63平米 | 南 北,1030,"92,270",2006,111.63,16,31.25805502,121.4476989,70500,1,金沙雅苑(一期),31.24583649,121.376223,90602,,,,,,,
中远两湾城,高区两房 业主置换 诚意出售 房龄新，出行交通便利,高楼层 (共34层) | 2005年建 | 2室2厅 | 110.29平米 | 南,1010,"91,577",2005,110.29,17,31.25805502,121.4476989,70500,1,金玉苑（二期）,31.24512964,121.3969842,81067,,,,,,,
中远两湾城,精装修，景观位置，税费少，看房随时，业主诚意出售,低楼层 (共36层) | 2001年建 | 3室2厅 | 147.55平米 | 南 北,1380,"93,528",2001,147.55,21,31.25805502,121.4476989,70500,1,金玉苑（一期）,31.24539075,121.3979665,83620,,,,,,,
中远两湾城,两房价格买三房+全明+*+安静+精装+近出入口,低楼层 (共34层) | 2005年建 | 3室2厅 | 123.24平米 | 南 北,1152,"93,477",2005,123.24,17,31.25805502,121.4476989,70500,1,金原新苑,31.26619843,121.4331792,61284.4,,,,,,,
中远两湾城,南北通3部电梯，全新大堂，满五年，看房方便诚意出售,低楼层 (共34层) | 2001年建 | 2室2厅 | 105.51平米 | 南,970,"91,935",2001,105.51,21,31.25805502,121.4476989,70500,1,锦绿新城,31.23924589,121.427544,76332,,,,,,,
中远两湾城,99弄错层小三房+沿河景观无遮挡+正南朝向+位置安静,中楼层 (共30层) | 2003年建 | 3室2厅 | 119.77平米 | 南,1187,"99,107",2003,119.77,19,31.25805502,121.4476989,70500,1,锦翔大楼,31.29353585,121.362799,42694.5,,,,,,,
中远两湾城,全南户型，高区楼层，视野开阔，税费少,高楼层 (共34层) | 2005年建 | 2室2厅 | 105.67平米 | 西南,960,"90,849",2005,105.67,17,31.25805502,121.4476989,70500,1,泾阳家园,31.24373392,121.3716991,63721,,,,,,,
中远两湾城,罕见复式，南北通双开门，楼层好，视野开阔，采光充足,高楼层 (共34层) | 2006年建 | 2室2厅 | 117.15平米 | 南 北,1095,"93,470",2006,117.15,16,31.25805502,121.4476989,70500,1,九茂小区,31.24675697,121.4496248,78169.5,,,,,,,
中远两湾城,中间楼栋+位置安静+南北通+正南正北+前后双景,低楼层 (共30层) | 2003年建 | 3室2厅 | 121.95平米 | 南,1130,"92,661",2003,121.95,19,31.25805502,121.4476989,70500,1,开开公寓,31.24466731,121.4024826,78243,,,,,,,
中远两湾城,近地铁，五轨交，双卫全明，税费少,低楼层 (共34层) | 2002年建 | 3室2厅 | 131.1平米 | 东南,1180,"90,008",2002,131.1,20,31.25805502,121.4476989,70500,1,康怡苑,31.24958636,121.440056,85100,,,,,,,
中远两湾城,河景，业主诚意急，宜居舒适，价格可谈，安静中区,低楼层 (共34层) | 2006年建 | 2室2厅 | 116.52平米 | 东南,1124,"96,465",2006,116.52,16,31.25805502,121.4476989,70500,1,昆仑花苑,31.26561667,121.3865261,54693.66667,,,,,,,
中远两湾城,四期06年品质楼栋+炸裂景观+满五wei 一税费少+急售,高楼层 (共34层) | 2006年建 | 3室2厅 | 157.26平米 | 南,1500,"95,384",2006,157.26,16,31.25805502,121.4476989,70500,1,兰凤新村,31.83559998,121.3384021,66505.5,,,,,,,
中远两湾城,满五年买进445万税少，带大露台！单价9万哦，到价,低楼层 (共30层) | 2001年建 | 2室2厅 | 102.19平米 | 南,935,"91,497",2001,102.19,21,31.25805502,121.4476989,70500,1,兰溪路231弄,31.23592904,121.4805389,55826,,,,,,,
中远两湾城,大三期品质社区，看千树天安和苏州河，中区全明。,高楼层 (共27层) | 2004年建 | 2室1厅 | 120.37平米 | 南,1125,"93,462",2004,120.37,18,31.25805502,121.4476989,70500,1,岚皋大楼,31.25274659,121.4333394,73530,,,,,,,
